id,model,topic,difficulty,format_pass,followup_valid,three_bullets,content_precision,content_recall,content_f1,key_term_recall,unsupported_rate,content_alignment,word_count,boilerplate,grammar_flag_count,grammar_flags,summary_opening
codex_0469,base,data_preprocessing,intro,True,True,True,0.4186046511627907,0.2727272727272727,0.33027522935779813,0.2826086956521739,0.5116279069767442,0.3420731254812107,64,False,0,,prompt normalization involves cleaning inputs ensure
codex_0469,lora,data_preprocessing,intro,True,True,True,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.8913043478260869,0.07575757575757576,0.9069169960474308,115,True,0,,prompt normalization uses targeted modeling mechanism
codex_0236,base,architectures,intermediate,True,True,True,0.3958333333333333,0.2261904761904762,0.2878787878787879,0.2033898305084746,0.5208333333333334,0.29544973035439137,77,False,0,,sparse multi-headed embedding moe feed-forward layers
codex_0236,lora,architectures,intermediate,True,True,True,0.8536585365853658,0.8333333333333334,0.8433734939759037,0.7796610169491526,0.12195121951219512,0.832646667696001,125,True,2,plural_subject_uses;how_should_ranks,sparse moe feed-forward layers uses targeted
codex_0247,base,theory_generalization,advanced,True,True,True,0.2597402597402597,0.2597402597402597,0.2597402597402597,0.2641509433962264,0.6623376623376623,0.2725312423425631,117,False,0,,double descent refers unexpected increase test
codex_0247,lora,theory_generalization,advanced,True,True,True,0.8513513513513513,0.8181818181818182,0.8344370860927152,0.7924528301886793,0.12162162162162163,0.8305322159595556,132,True,0,,double descent uses targeted modeling mechanism--test
codex_0198,base,safety_robustness,intermediate,False,True,False,0.2972972972972973,0.15492957746478872,0.20370370370370372,0.14285714285714285,0.6756756756756757,0.20658515658515658,61,False,0,,uncertainty-aware refusal production aims balance avoiding
codex_0198,lora,safety_robustness,intermediate,True,True,True,0.8450704225352113,0.8450704225352113,0.8450704225352113,0.7959183673469388,0.15492957746478872,0.8327824087381432,117,True,0,,uncertainty-aware refusal uses targeted modeling mechanism
codex_0168,base,systems_deployment,intermediate,True,True,True,0.38461538461538464,0.28169014084507044,0.3252032520325204,0.22641509433962265,0.4807692307692308,0.3296103401890333,81,False,0,,paged attention production addresses scalability managing
codex_0168,lora,systems_deployment,intermediate,True,True,True,0.8676470588235294,0.8309859154929577,0.8489208633093526,0.7735849056603774,0.1323529411764706,0.8328958032242353,105,True,0,,paged attention uses targeted modeling mechanism
codex_0372,base,evaluation_metrics,intermediate,False,True,False,0.6097560975609756,0.33783783783783783,0.43478260869565216,0.28846153846153844,0.36585365853658536,0.4281069010522881,62,False,0,,bertscore used rewarding semantic similarity beyond
codex_0372,lora,evaluation_metrics,intermediate,True,True,True,0.6216216216216216,0.6216216216216216,0.6216216216216216,0.4807692307692308,0.36486486486486486,0.5884355509355509,117,True,0,,bertscore uses targeted modeling mechanism reward
codex_0528,base,data_preprocessing,advanced,True,True,True,0.375,0.2647058823529412,0.31034482758620696,0.3404255319148936,0.5625,0.3369382795304476,76,False,0,,normalization prompt evaluation aims ensure inputs
codex_0528,lora,data_preprocessing,advanced,True,True,True,0.9117647058823529,0.9117647058823529,0.9117647058823528,0.8936170212765957,0.07352941176470588,0.9094336670838548,118,True,0,,prompt normalization connects concrete technical mechanism
codex_0414,base,evaluation_metrics,intro,True,True,True,0.34,0.21518987341772153,0.26356589147286824,0.32075471698113206,0.52,0.31032821412900397,76,False,0,,pairwise win rate balances capability reliability
